name,count,year,month
SuzukiAlto,23,2012,4
Nissan Miora,110,2012,4
MINI Clubman,20,2012,4
Kia Rio,263,2012,4
Nissan Pixo,3,2012,4
Citroen C4,257,2012,4
MINI Mini,129,2012,4
Peugeot 308,302,2012,4
Fiat 500,165,2012,4
Renault Laguna,14,2012,4
Volkswagen Polo,770,2012,4
OpeICorsa,188,2012,4
Renault Megane,169,2012,4
Hyundai i10,79,2012,4
Volvo C30,36,2012,4
Ford Ka,32,2012,4
Ford Focus,1305,2012,4
AudiA1,313,2012,4
Honda.Jazz,117,2012,4
AudiA3,529,2012,4
Skoda Fabia,427,2012,4
ToyotaVerso-S,381,2012,4
Mazda2,224,2012,4
Citroen DS5,59,2012,4
Honda andre,4,2012,4
Toyota Yaris,1347,2012,4
Ford Fiesta,445,2012,4
Chevrolet Spark,5,2012,4
Citroen DS4,97,2012,4
Subaru Trezia,36,2012,4
Nissan Leaf,1304,2013,4
Mitsubishi l-MiEV,157,2013,4
Peugeot iOn,24,2013,4
Citroen C-Zero,14,2013,4
Mia andre,3,2013,4
Think City,3,2013,4
Tesla Roadster,2,2013,4
Opel Ampera,22,2013,4
Fisker Karma,1,2013,4
Smart ForTwo,11,2013,4
Toyota Prius,750,2013,4
Toyota Yaris,1330,2013,4
Lexus CT,107,2013,4
Mitsubishi Space Star,168,2013,4
Fiat 500,115,2013,4
Hondalnsight,3,2013,4
Volkswagen upl,473,2013,4
Skoda Citigo,277,2013,4
Toyota Auris,1410,2013,4
Toyota Aygo,137,2013,4
Peugeot 107,59,2013,4
Peugeot 208,704,2013,4
Ford Fiesta,500,2013,4
Citroen C1,40,2013,4
Citroen DSB,166,2013,4
Kia Picanto,337,2013,4
Volvo V40,1142,2013,4
Renault Clio,142,2013,4
Volkswagen Jetta,35,2013,4
Citroen C3,116,2013,4
Suzuki Alto,86,2013,4
Toyota lQ,20,2013,4
Fiat Punto,3,2013,4
Citroen C4,121,2013,4
Renault Megane,75,2013,4
Kia Rio,227,2013,4
Alfa Romeo Mito,18,2013,4
Nissan Micra,31,2013,4
Renault Laguna,6,2013,4
Hyundai i10,57,2013,4
Peugeot 508,441,2013,4
Fiat Panda,61,2013,4
Volvo C30,4,2013,4
Citroen DSS,115,2013,4
Skoda Rapid,106,2013,4
MINI Mini,90,2013,4
Honda Jazz,79,2013,4
Peugeot 308,75,2013,4
Chevrolet Aveo,36,2013,4
Ford Ka,7,2013,4
Audi A3,589,2013,4
Volkswagen Golf,2869,2013,4
Ford Focus,1159,2013,4
AudiA1,273,2013,4
Mazda2,104,2013,4
BMW 1-serie,351,2013,4
Skoda Fabia,224,2013,4
Toyota Verso-S,155,2013,4
Chevrolet Spark,57,2013,4
Opel Adam,44,2013,4
Subaru Trezia,26,2013,4
Volkswagen Polo,616,2013,4
Honda CRZ,2,2013,4
Saab 9-3,1,2013,4
Nissan Leaf,895,2012,5
Mitsubishi l-MiEV,297,2012,5
Peugeot iOn,131,2012,5
Citroen C-Zero,109,2012,5
Tesla Roadster,13,2012,5
Think City,7,2012,5
OpelArnpera,19,2012,5
Toyota Prius,629,2012,5
Lexus CT,220,2012,5
Volkswagen upl,96,2012,5
Citroen CS,200,2012,5
Peugeot 208,191,2012,5
VolvoV50,1039,2012,5
Smart ForTwo,23,2012,5
ToyotaAuris,1173,2012,5
Toyota Aygo,237,2012,5
Citroen C'I,145,2012,5
Peugeot 107,158,2012,5
ToyotaIQ,69,2012,5
Fiat Punto,13,2012,5
Hondalnsight,4,2012,5
Kia Pioanto,423,2012,5
SuzukiAlto,29,2012,5
Nissan Miora,131,2012,5
