car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
17. Opel Vectra,178,"1,4",178,"1,4",114,"1,5",114,"1,5","56,1","56,1",2007.0,1,0
18. Honda CR-V,172,"1,4",172,"1,4",123,"1,6",123,"1,6","39,8","39,8",2007.0,1,0
TOTALT,9 901,100,9 901,100,12 685,100,12 685,100,"-21,9","-21,9",2008.0,1,0
1. Ford Mondeo,588,"5,9",588,"5,9",168,"1,3",168,"1,3","250,0","250,0",2008.0,1,0
2. Volkswagen Golf,425,"4,3",425,"4,3",720,"5,7",720,"5,7","-41,0","-41,0",2008.0,1,0
3. Honda CR-V,397,"4,0",397,"4,0",172,"1,4",172,"1,4","130,8","130,8",2008.0,1,0
4. Volkswagen Passat,365,"3,7",365,"3,7",1 267,"10,0",1 267,"10,0","-71,2","-71,2",2008.0,1,0
5. Toyota Rav4,331,"3,3",331,"3,3",819,"6,5",819,"6,5","-59,6","-59,6",2008.0,1,0
6. Toyota Avensis,322,"3,3",322,"3,3",787,"6,2",787,"6,2","-59,1","-59,1",2008.0,1,0
7. Toyota Auris,321,"3,2",321,"3,2",2,"0,0",2,"0,0","15 950,0","15 950,0",2008.0,1,0
8. Volvo V70,315,"3,2",315,"3,2",117,"0,9",117,"0,9","169,2","169,2",2008.0,1,0
9. Nissan Qashqai,280,"2,8",280,"2,8",0,"0,0",0,"0,0",,,2008.0,1,0
10. Mitsubishi Outlander,232,"2,3",232,"2,3",7,"0,1",7,"0,1","3 214,3","3 214,3",2008.0,1,0
11. Toyota Corolla,229,"2,3",229,"2,3",691,"5,4",691,"5,4","-66,9","-66,9",2008.0,1,0
12. Toyota Prius,217,"2,2",217,"2,2",96,"0,8",96,"0,8","126,0","126,0",2008.0,1,0
13. Skoda Octavia,216,"2,2",216,"2,2",481,"3,8",481,"3,8","-55,1","-55,1",2008.0,1,0
14. Peugeot 207,202,"2,0",202,"2,0",320,"2,5",320,"2,5","-36,9","-36,9",2008.0,1,0
15. Toyota Yaris,198,"2,0",198,"2,0",402,"3,2",402,"3,2","-50,7","-50,7",2008.0,1,0
16. Ford Focus,173,"1,7",173,"1,7",400,"3,2",400,"3,2","-56,8","-56,8",2008.0,1,0
17. BMW 3-serie,158,"1,6",158,"1,6",183,"1,4",183,"1,4","-13,7","-13,7",2008.0,1,0
18. Audi A4,157,"1,6",157,"1,6",269,"2,1",269,"2,1","-41,6","-41,6",2008.0,1,0
19. Nissan X-Trail,144,"1,5",144,"1,5",28,"0,2",28,"0,2","414,3","414,3",2008.0,1,0
20. Peugeot 308,135,"1,4",135,"1,4",0,"0,0",0,"0,0",,,2008.0,1,0
TOTALT,5 353,100,5 353,100,9 901,100,9 901,100,"-45,9","-45,9",2009.0,1,0
1. Toyota Avensis,400,"7,5",400,"7,5",322,"3,3",322,"3,3","24,2","24,2",2009.0,1,0
2. Volkswagen Golf,318,"5,9",318,"5,9",425,"4,3",425,"4,3","-25,2","-25,2",2009.0,1,0
3. Ford Focus,177,"3,3",177,"3,3",173,"1,7",173,"1,7","2,3","2,3",2009.0,1,0
4. Volkswagen Passat,161,"3,0",161,"3,0",365,"3,7",365,"3,7","-55,9","-55,9",2009.0,1,0
5. Ford Mondeo,154,"2,9",154,"2,9",588,"5,9",588,"5,9","-73,8","-73,8",2009.0,1,0
